链接,面积,房屋户型,楼层,房屋朝向,地铁,小区,位置,时间,租赁方式,付款方式,房屋现状,租赁周期,装修描述,小区介绍,学区介绍,核心卖点,周边配套,交通出行,户型介绍,投资分析
http://gz.lianjia.com/zufang/GZ0002398543.html,43平米,1室1厅1卫  整租,低楼层 (共17层),北,距地铁8号线沙园358米,光大花园水岸榕城7套出租中,海珠工业大道北,8天前发布,整租,暂无数据,暂无数据,暂无数据,此单位住家装修 保养还不错。雪白的墙身。显示得更加光亮。通风采光好。周边生活气氛良好，人文素质高,,,交通便利 配套完善,属于中型社区，环境优美 ，出入方便 配套成熟。交通方便，附近有多条线路直达广州任何一个区域,布局合理。采光以及通风都非常好。旺中带静。视野开阔。靓景美不胜收。让您感觉非常舒服。让您心情舒畅。,,
http://gz.lianjia.com/zufang/GZ0002226139.html,103平米,2室2厅1卫  整租,低楼层 (共26层),南,暂无数据,合生广场4套出租中,海珠广州大道南,102天前发布,整租,暂无数据,暂无数据,暂无数据,此单位住家装修 保养还不错。雪白的墙身。显示得更加光亮。户型方正。通风采光良好。周边生活气氛良好，人文素质高,,,交通便利，配套完善,,属于中型社区，环境优美 ，出入方便 配套成熟地段，交通方便，附近有多条线路直达广州任何一个区域,,窗体顶端布局合理。采光以及通风都非常好。旺中带静。视野开阔。靓景美不胜收。让您感觉非常舒服。让您心情舒畅。
http://gz.lianjia.com/zufang/GZ0002226167.html,234平米 (套内185平米),4室2厅3卫  整租,中楼层 (共41层),西南,距地铁5号线猎德819米,誉峰5套出租中,天河珠江新城东,352天前发布,整租,暂无数据,暂无数据,暂无数据,1、简约欧式风格装修，舒适大气；2、地板、门框和衣柜皆采用香槟金色调，低调奢华有内涵。,“誉峰”该项目建筑面积将近15万平方米，位于珠江公园北面，拥有一线的珠江公园景观。由于该项目位于CBD居住区。8栋40多层超多层住宅，将是珠江北面的社区。,,户型方正实用 多层景观洋房 安静舒适,,封闭式管理！配套也完善，地铁，公交等交通设施一应俱有。停车场有3层，车位充足,,
http://gz.lianjia.com/zufang/GZ0002398540.html,72平米 (套内72平米),1室1厅1卫  整租,高楼层 (共33层),西南,距地铁5号线潭村893米,马赛国际公寓16套出租中,天河珠江新城东,54天前发布,整租,暂无数据,暂无数据,暂无数据,家私家电齐全 装修保养得很好 隔音也做得不错 墙壁光滑无缝 采光好 灯光温和,拥有40－120平方米单身公寓至四房二厅的多种户型，简洁、沉稳的外立面设计，中小户型为主，全部户型精马赛是珠江地产开发的，配套康景优质的服务，居住在那里的住户都能享受到星 级的服务。周边的配套齐全，本身自己就有会所，是平时休闲娱乐的好,大学：暨南大学、华南师范大学中小学：天河实验小学，暨大附小、附中，华师附小附中幼儿园：海滨幼儿园、华师附属南国实验幼儿园,装修精美 装修保养好 拎包入住 配套完善,商场：太阳城广场、美居中 心、南国肉菜超市、天马装饰材料、佳园装饰、环市五金连锁店、华生五金建材商店、潭村菜市场邮局：暨大邮局银行：招商银行、中行华骏办事处、工行南国支行、中国工商银行南国花园分理处、建行南国花园支行医院：华侨医院，中山三院,53 43 227 302 261 882 299 550 284 562 517 540等多条公交线路及地铁站五号线(潭村站),,
http://gz.lianjia.com/zufang/GZ0002226299.html,120平米,4室2厅0卫  整租,高楼层 (共8层),南 北,暂无数据,广园东路3套出租中,天河沙河,129天前发布,整租,暂无数据,暂无数据,暂无数据,房子普通装修，房子户型方正，采光良好，厅大房大，带阳台，保养还可以，干净。,,附近高校林立 生活气息浓郁 公共设施很多 社区福利很好 交通方便,实用四房 交通方便,,公交：297、46、175、72、112、540、周边公交车站 地铁 近华师站 五山路 交通便利,,
http://gz.lianjia.com/zufang/GZ0002226088.html,124平米,4室2厅2卫  整租,中楼层 (共18层),东南,暂无数据,远洋明苑11套出租中,天河东圃,416天前发布,整租,暂无数据,暂无数据,暂无数据,房子业主08年租给别人，一直是那个租客在租，装修保养一般，买回来要自己装修一下,公园，近金融城儿童乐园2、配套成熟，有银行、超市、商场、美食街、菜市场、医院3、交通方便，步行到BRT，便民车到地铁口,,南向落地大飘窗,,公交路线：BRT黄村站 B1路、B2A路、B2路、B3路、B5路、B6路、B15路、B16路、B17路、B18路、B19路、B20路、B26路、B27 地铁线路：广州市内可搭乘地铁4号线黄村站或5号线三溪站再转公交到黄村BRT站,,
http://gz.lianjia.com/zufang/GZ0002226457.html,55平米 (套内70平米),2室2厅1卫  整租,高楼层 (共9层),南 北,距地铁1号线广州东站461米,紫荆小区紫荆街2套出租中,天河天河北,127天前发布,整租,暂无数据,暂无数据,暂无数据,房子新装修， 2房2厅，漂亮装修、保养十分好，x缺户型，采光保养好,紫荆花园位于林和东路中段，小区设计w美，亭院树木成荫，周边配套设置完善，交通非常方便，靠中信广场，到火车东站步行只需5，环境安静，居住人群的整体素质较高。,,林和东 配套设施齐q，花园小区，租金便宜,10分钟到的东泰广场、吉之岛超市、KFC、表妹港式茶餐厅、星巴克等，让你生活更便利,公交：45路、62A路、62路、214路、233路、280路、551路、810A路、810路、B19路、B20路、高峰快线24路、高峰快线28路地铁：3号线支线林和西站、3号线支线广州东站,,
http://gz.lianjia.com/zufang/GZ0002226356.html,92平米,3室2厅1卫  整租,高楼层 (共7层),南,暂无数据,恒盛苑1套出租中,番禺钟村,114天前发布,整租,暂无数据,暂无数据,暂无数据,此单位是恒盛苑经典的3室2厅1厨2卫2阳台户型，共7层格局合理.这个房子是业主自住的房子保养不是很好。,商场：美嘉服装城、信馨超级商场、钟村商城、钟村市场 禄福珠宝金行、顺客隆、百汇超市、南天超级市场 医院：祈福医院、新感觉动物医院、钟村医院 邮局：锦绣邮政储蓄所 银行：中国信合钟村锦绣分社、中国建设银行、交通银行 其他：安南东南亚美食、羊之道西部美食城、沁芳园钟村分店、钟村市场,,利用空间大,个具有10的成熟小区配套，生活出行非常便利。在未来的2020年中广州将会开通地铁7号线由广州南站到大学城途径中村站点，不管是自住都将会带给你非常大的收益,,,
http://gz.lianjia.com/zufang/GZ0002226448.html,98平米,2室0厅2卫  整租,低楼层 (共9层),北,暂无数据,华景新城叠翠居3套出租中,天河华景新城,109天前发布,整租,暂无数据,暂无数据,暂无数据,普通装修，无需大搞，即可拎包入住。室内干净整洁，住起来舒服，家电基本上都齐。,华景新城属于天河区地段，周边生活配套设施非常便利，周围10内步行可到的公共设施：天河公园、华景市场、华润万家、中山大学第三附属医院、华师。超市、银行、学校一应俱,华景小学是属于天河区排名很靠前的一所学校， 师资质量非常高， 是天河非常受欢迎的一所学校， 地理位置非常好， 113中学， 周边众多教育机构,环境安静，家电齐，价格低,,,,
http://gz.lianjia.com/zufang/GZ0002226415.html,76平米,3室2厅1卫  整租,高楼层 (共9层),南 北,暂无数据,上步花园A2栋2套出租中,白云同德围,118天前发布,整租,暂无数据,暂无数据,暂无数据,物业内是中等装修，业主保养得非常好，干净舒适 地板是60*60的抛光砖，墙面是扇白色乳胶漆，间隔方正。,上步花园座落于白云区西槎路上步广场附近，小区采用半封闭管理，附近配套完善，坐车买菜方便。该小区物业为商品房性质，马赛克外墙。小区内外设有农贸市场、农业银行、停车场、老人活动、饮食店、发廊、美容店、家政服务等生活配置一应俱。,,南北对流 间隔方正 通风采光好,,215/17/545/524/527/539/832/134/179/176/175/196/241/527/539/524/212/238/228/241/夜15/夜21/夜2 等,,
http://gz.lianjia.com/zufang/GZ0002226343.html,70平米,2室2厅2卫  整租,中楼层 (共31层),东,暂无数据,保利大都汇36套出租中,番禺华南,131天前发布,整租,暂无数据,暂无数据,暂无数据,带精美装修，家电。外墙为13.5mm双层LOW-E玻璃幕墙，现代感强，装修更明亮的广阔的景观视野,位于华南旗舰级主题公园长隆旅游度假区旁，西连广州南站商圈，东接番禺万博商圈，坐拥万千客流。距离地铁3号线汉溪长隆站仅一步之遥，15分钟直达珠江新城,,精美装修！,综合商场：海印又一城奢侈品折扣店、沃尔玛山姆会员店、天河城百货奥特莱斯商场、以及在建的万博内万达广场、天河城、祈福医院、工行南奥支行、中信银行ATM、农村信用合作社洗敦分社、建行锦绣香江支行、中信银行ATM、兴业银行ATM菜市场：华润万家、新一佳购物广场,,方位的商业业态通过国际建筑动线、园林布局设计，形成生态与人文的融合，呈现一种新的商务办公及休闲娱乐氛围。,
http://gz.lianjia.com/zufang/GZ0002226480.html,41.15平米,1室1厅1卫  整租,高楼层 (共9层),东南,暂无数据,芳村大道西10套出租中,荔湾滘口,100天前发布,整租,暂无数据,暂无数据,暂无数据,此单位业主说 简单装修 间隔实用 要求不高可以直接就即可入住业主自装修 采光好,,,交通方便 中层单位 装修新净,医院：中山医附属芳村人民医院、福康医院 银行：工商银行、建设银行、中国银行、农业银行、广州银行、光大银行其他：桥东市场,公交：19路、高峰快线22路、52路、55路、57路、75路、81路、123A路、193路、202路、206路、207路、佛山277路、277路、281路、309路、411路、783路地铁：5号线滘口站,,
http://gz.lianjia.com/zufang/GZ0002398438.html,61平米,1室1厅1卫  整租,中楼层 (共26层),南,距地铁5号线小北585米,小北御景1套出租中,越秀小北,5天前发布,整租,暂无数据,暂无数据,暂无数据,新装修外墙：优质外墙砖内墙：厅、房刷乳胶漆，入门为木饰防火门，配有名厂房间、卫生间为板材木门。厨房为玻璃木门。并配有名厂门锁。出阳台为铝合金推拉门。窗户为铝合金框配玻璃，窗台为优质大理石。,,,小区管理 配套完善 精装,学校：广州市第十七中学、广州市越秀区丹桂里小学、小北路小学、越秀区天秀小学医院：广空后勤医院银行：中国银行、交通银行、中国工商银行饮食：沙湾甜品食馆(小北店)、金色月光西餐、麦当劳、炖品皇(梧桐店)越秀公园,公交车：小北花圈站、越秀北路站，途经线路包括10路、184路、190路、191路、219路、220路、233路、36路、544路、66路、6路、76A线、76路、833路、864路、旅游1线、夜32路、夜40路、夜4路、夜5路、地铁：地铁五号线小北站。,,
http://gz.lianjia.com/zufang/GZ0002226481.html,62平米 (套内48平米),1室1厅1卫  整租,高楼层 (共16层),北,暂无数据,天元大厦3套出租中,白云黄石路,100天前发布,整租,暂无数据,暂无数据,暂无数据,该房源是简单装修 部分家私 厨房光亮 房间大 光线好 墙面保养干净整洁 高层视野好,,,高层 看房方便,该房子周边配套有餐饮店 加油站 大型购物超市 公交车站给生活带来很大的变利,该房子位于黄石西路 地理位置很是方便 有多路公交车 出行很是便捷 自己开车也是很方便,,
http://gz.lianjia.com/zufang/GZ0002267183.html,50平米,2室1厅1卫  整租,高楼层 (共9层),北,暂无数据,嘉景园豪景阁1套出租中,白云新市,193天前发布,整租,暂无数据,暂无数据,暂无数据,该房子为简单装修，户型方正实用，带了个小阳台，厅和主卧是北向的，次卧是东向的，家私电给配齐全，可以直接入住,小区是白色马赛克外墙 大约15年楼龄 园内有停车场 24小时保安管理 园内卫生很干净,,家私电全 户型方正 很凉快 可拎包入住,附近交通方便 购物成熟 附近有百信广场 家乐福 好又多等 新市医院 白云区第一人民医院在小区附近,,,
http://gz.lianjia.com/zufang/GZ0002226568.html,65平米,1室2厅2卫  整租,高楼层 (共40层),西北,距地铁1号线体育中心187米,正佳万豪金殿4套出租中,天河天河南,290天前发布,整租,暂无数据,暂无数据,暂无数据,此房建筑面积65平方，层高5.2米高的复式一房二厅二卫，落地玻璃窗，现在是毛坯房，间隔好隔层的楼板，独立厨房次所,正佳金殿总高39层，楼下就是正佳广场，酒店，会所，美食餐饮，娱乐设施等等。,,天河双地铁物业 120%实用率 景观好,天河体育馆，各大银行，正佳广场，天环广场，太古汇，天河城百货，广百，天河又一城，天河电脑城，天娱广场，学校，酒店，餐饮，会所等,,此房建筑面积65平方，实用率120%，层高5.2米高的复式，一房二厅二卫，落地玻璃窗。独立厨房卫生间，正望体育馆景观，视野好，景观好。,正佳金殿位于广州繁华地段，租金高，租金每平方150元左右，邻近就是天河体育西，双地铁，BRT快速公交石牌桥站，正佳广场，太古汇，天河城百货，广百，天河又一城，摩登百货，天娱广场，天河电脑城等大型商业在广场，酒店餐饮，各大银行，会所等，配套齐。
http://gz.lianjia.com/zufang/GZ0002226571.html,65平米,1室2厅2卫  整租,高楼层 (共40层),西北,距地铁1号线体育中心187米,正佳万豪金殿4套出租中,天河天河南,290天前发布,整租,暂无数据,暂无数据,暂无数据,此房建筑面积65平方，层高5.2米高的复式一房二厅二卫，落地玻璃窗，现在是毛坯房，间隔好隔层的楼板，独立厨房次所,正佳金殿总高39层，楼下就是正佳广场，酒店，会所，美食餐饮，游乐设施等等。,,天河双地铁 120%实用率 景观好,天河体育馆，各大银行，正佳广场，天环广场，太古汇，天河城百货，广百，天河又一城，天河电脑城，天娱广场，学校，酒店，餐饮，会所等,,此房建筑面积65平方，实用率120%，层高5.2米高的复式，一房二厅二卫，落地玻璃窗。独立厨房卫生间，正望体育馆景观，视野好，景观好。,正佳金殿位于广州最繁华地段，租金高，租金每平方150元左右，邻近就是天河体育西，双地铁，BRT快速公交石牌桥站，正佳广场，太古汇，天河城百货，广百，天河又一城，摩登百货，天娱广场，天河电脑城等大型商业在广场，酒店餐饮，各大银行，会所等，配套齐。
http://gz.lianjia.com/zufang/GZ0002226690.html,120平米,3室2厅2卫  整租,低楼层 (共19层),南,距地铁4号线黄村524米,中海康城铃兰街2套出租中,天河黄村,152天前发布,整租,暂无数据,暂无数据,暂无数据,房子装修保养好，部分家私家电，采光好，通风，格局方正，实用方正三房,,,南向三房 安静望花园,幼儿园：中海康城幼儿园中小学：中海康城小学、东圃中学大学：华联私立大学商场：花花世界大型购物商城、花城超市。,公交：506路、506a路、b22路、b26路、b4路、b4a路、b4b路地铁：4号线黄村站,,
http://gz.lianjia.com/zufang/GZ0002226882.html,86平米,3室2厅1卫  整租,低楼层 (共36层),北,暂无数据,华景新城陶然庭园15套出租中,天河华景新城,116天前发布,整租,暂无数据,暂无数据,暂无数据,二手业主 之前业主保养的非常不错 现在配上了新家电 面干干净净 基本拎包入住,,,安静三房 新家私家电 拎包住,配套完善 有华润万家 6大银行（中行 建行 工行 农行 民生 光大）等 一条美食街商店 满足你生活的需求,交通便利 楼下有公交 有BRT B9线 191 193 190 等10几条公交路线经过 出行广州没问题,三房两厅一厨一卫一阳 望花园 安静舒适 环境优美 86方实用三房 拎包进来住即可,
http://gz.lianjia.com/zufang/GZ0002226807.html,83平米,3室1厅1卫  整租,高楼层 (共12层),北,距地铁2号线东晓南1096米,金碧花园第二金碧45套出租中,海珠金碧,100天前发布,整租,暂无数据,暂无数据,暂无数据,房子新装修，房子低层视野开阔，安静舒适，房大厅大，安静舒适，采光通风,小区物业服务专业，物业费(1元/平米)，周边配套齐，交通便利，,幼儿园：金碧第一幼儿园、第二幼儿园、第三幼儿园[1] 中小学：广州市第五中学、南武小学、南洲小学、瑞宝小学、南洲小学大学：广州大学城、中山大学，广州美术学院，广东轻工职业技术学院,邻近地铁口 安静舒适 视野开阔,套 商场：百佳超市、苏宁电器商场、电器城医院：石溪医院、珠江医院、中山二院南院邮局：鸣翠邮局、南石头邮局银行：中国银行、建设银行、农业银行,途经线路：9、13、59、75、79、79A、86、87、180、202、221、230、288、288A、309、309A、546、551、836、夜7、夜20和夜24双地铁,,
http://gz.lianjia.com/zufang/GZ0002226803.html,125平米,3室1厅2卫  整租,高楼层 (共7层),南 北,距地铁1号线体育中心250米,名雅苑雅风阁2套出租中,天河体育中心,240天前发布,整租,暂无数据,暂无数据,暂无数据,业主保养比较好，地面铺设白色瓷砖，墙面干净无脱落，整体装修风格简洁,名雅苑小区单体呈对称布置，四周自然绿化环境，分别由二栋十八层及一栋二十四层、六栋六层和六栋七层及八栋八层、十二栋六层复式洋房等35栋楼宇组成，从而使小区建筑物天际线错落有致，充满动感。,,花园小区，安静，入读华阳，周边配套成熟,名雅苑小区位于广州市天河区，紧靠体育东路、天河东路，西邻天河体育中心，体育中心地铁站紧邻小区入口。其地理位置优越、交通便利、环境优雅，是天河区内质量较高、配套完善的优秀住宅小区。,紧靠体育东路、天河东路，西邻天河体育中心，体育中心地铁站紧邻小区入口,,
http://gz.lianjia.com/zufang/GZ0002226743.html,64平米,2室1厅1卫  整租,中楼层 (共32层),西南,暂无数据,金碧新城53套出租中,白云石井,144天前发布,整租,暂无数据,暂无数据,暂无数据,房子保养很好 墙壁白色新净 天花板装有晶莹剔透的灯饰 家电都有 拎包入住 居住舒适,,幼儿园:金碧新城幼儿园、怡乐幼儿园、张村幼儿园、榕溪幼儿园 中小学：石井中学、石井小学、金碧新城小学 大学：广东外语外贸大学,采光通风 环境舒适,商场：好又多、家乐福、广百新市店、石井城市广场 医院：广州市白云区第一人民医院、石井医院、黄石医院、广州南洋肿瘤医院 邮局：金碧新城邮局 银行：农业银行、建设银行、中国银行、浦发银行 其他：连锁酒店,公交有62、259、524、539、543、7、63、高峰快线7、126、280、291a等，交通十分方便，紧邻地铁。,,
http://gz.lianjia.com/zufang/GZ0002226593.html,166平米,4室2厅1卫  整租,低楼层 (共32层),南 北,距地铁5号线猎德173米,隽峰苑13套出租中,天河珠江新城中,208天前发布,整租,暂无数据,暂无数据,暂无数据,精装修 保养非常好 南北向视野开阔 前面无遮挡 小区环境舒适安静又安,隽峰苑是一座“底商上住”的大型综合小区，它的总体建筑布局呈L形。该项目以“水韵风情”为主题，从外立面到户型的设计都体现出时尚、现代的风格特色，是住户追求的热门小区之一。,带省一级学校双，包括体育东小学和天河中学交通超级便利，2分钟即到公交站，20多条公交线交汇，地铁五号线猎德站3分钟路程,珠江新城区域房屋出租，可办公,,交通超级便利，2分钟即到公交站，20多条公交线交汇，地铁五号线猎德站3分钟路程,该单位户型为4房2厅2卫2阳台，为大众比较喜欢办公的风格1.小区配有双(体育东小学、天河中学)买房小孩就进入省一级学校，起跑线比别人快。,
http://gz.lianjia.com/zufang/GZ0002226913.html,100平米,3室2厅2卫  整租,高楼层 (共11层),南,暂无数据,邮通小区3套出租中,天河华景新城,191天前发布,整租,暂无数据,暂无数据,暂无数据,精装修，采光好，地板是抛光磁砖的，保养还可以，部份家电，比较干净，现已空置，随时可入住。,十五年成熟生活配套 双公交总站 各大银行 饭店 菜市场 超市 便利店 水果店 花店进口美食店 美容修身连锁店 健身会所 服装店 学校 教育机构等完善配套,,邮通小区 精装电梯三房 办公住家都可以,天河公园，华润万家，喜士多，肯德基，星巴克，华侨医院、四大银行，美容美发店，生活双便利,华景新城小区内设有双公交总站 560 298 191 130 239 293 194 B9 公交线路 华景新城BRT站20路线路经过,,
http://gz.lianjia.com/zufang/GZ0002226996.html,68.57平米,2室1厅1卫  整租,高楼层 (共10层),东南,暂无数据,聚德花园15套出租中,海珠赤岗,156天前发布,整租,暂无数据,暂无数据,暂无数据,该物业位于聚德花园H栋，装修保养好，高层单位，视野开阔，采光通风,,学校：大塘幼儿园 赤岗小学 赤岗中学 聚德东小学 聚德西小学 聚德中学 广州纺织大学,高层单位 采光通风 视野开阔,医院：复大医院 四二一医院 省二人民医院 东华医疗门诊部 银行：工商银行 建设银行 农业银行 交通银行 光大银行 超市：华润万家 好又多 澳之星超市 兴龙超市 中惠超市 肯德基 乐生苑海鲜酒家 碧映鸡饭店 江海酒家,[公交]20、69、130、184、190、226、250、464、763、779、高峰快线39、夜45 [地铁]3号线--大塘站//8号线--赤岗站、客村站,,
http://gz.lianjia.com/zufang/GZ0002227043.html,57平米,2室2厅1卫  整租,高楼层 (共9层),东南,距地铁6号线沙河顶489米,集装箱宿舍2套出租中,天河沙河,135天前发布,整租,暂无数据,暂无数据,暂无数据,此房是两房一厅，间隔方正，此房为普通装修，房大厅大，近批发市场。,,,近批发市场，交通便利,"有医院，地铁，公交站，菜场,超市，小学，幼儿园！生活完善，小区内有康乐设施，停车场",近万佳服装城边，活动空间大，地理位置好 交通便利，公交路线有833    862 219 16等都经过沙河大街站,,
http://gz.lianjia.com/zufang/GZ0002226976.html,93平米,3室2厅1卫  整租,中楼层 (共29层),北,暂无数据,金山谷四期7套出租中,番禺祈福,100天前发布,整租,暂无数据,暂无数据,暂无数据,"本单位装修保养比较好，现代化装修标准,保养好，客厅开阔 宽敞舒适 采光很好,视野开阔,吉屋","金山谷 位于市桥市广路(祈福新村往市桥方向前800米)，总用地面积为560454㎡，绿化好。已开发的高层洋房和别墅。居住户数现有1600户,常住人口约为5000人",,"保养好 家电齐  视野开阔, 有车位",,公交车：309路，301路，305路，番1路，番15路，番13路，番97路，番99路，番96路等。2号线，3号线，7号线。,,
http://gz.lianjia.com/zufang/GZ0002227085.html,118平米,3室2厅1卫  整租,低楼层 (共24层),南,暂无数据,碧桂园凤凰城凤锦苑3套出租中,增城新塘,216天前发布,整租,暂无数据,暂无数据,暂无数据,此物业为开发商装修 经过广大业主居住，深受好评。此物业保养良好。家私齐全 可拎包入住,凤锦苑(天麓山)是凤凰城的洋房，总高24层！它位于半山腰上，四周由别墅环绕，其环境好、空气清新，适宜老人、小孩居住！拥有独立的商业街、肉菜市场，形成了苑区自给自足的生活圈！苑区有独立的穿梭巴士，每隔几分钟一班，外出方便，,凤锦苑小区就有幼儿园，供小区用的，再到上小学中学有香港引进的学校，中英文小学中学，让你的小孩赢在起跑线上。,环境好 三房,,此苑区有独立的穿梭巴士，每隔几分钟一班，几分钟到交通枢纽，有香港、深圳、增城、广州、黄埔等等地方，外出方便。,本房户型为3房2厅1卫一阳台户型，格局方正 布局合理 一楼私家大花园 环境优美 空气清新,
http://gz.lianjia.com/zufang/GZ0002226659.html,80平米,2室1厅1卫  整租,中楼层 (共8层),东 西,暂无数据,榕溪花园2套出租中,白云石井,146天前发布,整租,暂无数据,暂无数据,暂无数据,房间保养的很好，装修非常漂亮，一进门口就感觉非常的舒服，房间干净清爽。格局方方正正,,,格局方正 通风采光好,周边配套很成熟，有菜市场，银行，美食街 购物街 社区医院等等。生活出行非常便利。,交通出行非常方便，有公交车556 126 555 280 291 425 254 等等公交车出行。,,
http://gz.lianjia.com/zufang/GZ0002226894.html,200平米,4室2厅3卫  整租,高楼层 (共27层),东,距地铁5号线潭村847米,安骏大厦2套出租中,天河珠江新城东,112天前发布,整租,暂无数据,暂无数据,暂无数据,普通乳胶漆装修，大理石瓷砖，里面吉屋，可作为公司和住家用途。,,,房大厅大 方正实用 复式 小区环境好,商场：万佳超市、南国超市、广百马场路分店、珠江太阳城广场、友谊商场、百佳超市、宏城超市 医院：省中医二沙岛分院、空军医院、华侨医院、广州市妇幼保健医院、中山三院 邮局：南国花园邮政局、暨大邮局、天河东邮局、猎德邮政,,复式三层 有多个房间和卫生间，带主套 适合做办公和住家，楼层高，视野广阔,
http://gz.lianjia.com/zufang/GZ0002227157.html,93平米,3室1厅1卫  整租,高楼层 (共22层),北,距地铁3号线华师517米,华标广场5套出租中,天河天河北,104天前发布,整租,暂无数据,暂无数据,暂无数据,该房子是普通住家装修 ，有部分家私电，户型方正 空间大 通风采光都很好,位于天河北路与龙口东路的交界线。此小区由四栋高层组成，靠天河北路的两栋为商品房，靠天润路的两栋为(省委宿舍)。小区里的配套设施完善。个个本小学的幼儿园，会所，网球场，游泳池，运动器材等等。,,小区管理好 交通便利 近地铁,周边配套齐，有华润万家、百佳、苏宁、国美等大型购物广场，其他各类吃喝玩乐的商家,行便利：公交线路：B17路、B11路、560路、813路、133路、191路、130路、78路、78A路、197路、41路、32路、20路、78路、883路等，地铁：3号线华师站、3号线岗顶站,,
http://gz.lianjia.com/zufang/GZ0002227203.html,19.52平米,1室0厅1卫  整租,高楼层 (共9层),西,距地铁5号线滘口720米,桥东小区添祥街1套出租中,荔湾滘口,127天前发布,整租,暂无数据,暂无数据,暂无数据,通风 对流透气 实用 间隔方正 南北对流 采光好 交通便利 厨厠分开 周边配套成熟。,,,通风 对流透气 小户型 近市场,桥东小区站 四大银行 桥东市场 好主意酒楼 花苑酒家 荟萃超市 兴安超市 华润万家 林凤娥小学,步行15分钟能到地铁5号线 公交车站-桥东小区站19..52.55.57.75.81.193.202.206.207.222.277.281.309.411高峰快,,
http://gz.lianjia.com/zufang/GZ0002227145.html,27.91平米,1室0厅1卫  整租,低楼层 (共32层),西,距地铁2号线东晓南822米,金碧花园第一金碧55套出租中,海珠金碧,100天前发布,整租,暂无数据,暂无数据,暂无数据,装修保养不错 房型方正 采光通风好房型方正实用 温馨舒适的单间 采光通风好 家私家电齐 拎包即住,,,房型方正实用 温馨舒适的单间 采光通风好,新都荟、华润万家、百佳、国美、女人街商业城 ；[银行]：工商、建设、中国、农业、交通银行；[医院]：中山二院南院、石溪中医院、紫荆医院 [其他]：麦当劳，肯德基，江南菜馆，鸿星酒家，天宝酒家.,公交5、35、70、80、129、263、273、299、308、546、836、822、(总站)地铁二号线东晓南站与广佛延长线石溪站！,,
http://gz.lianjia.com/zufang/GZ0002239093.html,93平米,3室1厅1卫  整租,中楼层 (共11层),南,暂无数据,保利花园听雨街1套出租中,海珠工业大道中,95天前发布,整租,暂无数据,暂无数据,暂无数据,墙面刷白漆，光滑透亮，地面的瓷砖光滑无比，房屋整体保养新净，南北向对流，通风采光好,保利花园是2000年度国家小康住宅示范小区，由实力雄厚的保利集团南方公司开发。户型设计方正简约实用，小区环境优美，面对工业大道同类楼盘的竞争，开发商力求尽善尽美,,南北对流 通风采光好 间隔方正,医院：广州医学院第二附属医院、口腔医院、珠江医院、石溪中医院、江南外科医院。市场：华润万家超市、百佳超市、保利红棉市场、石溪肉菜市场。,,,
http://gz.lianjia.com/zufang/GZ0002239110.html,67平米,2室1厅1卫  整租,中楼层 (共8层),东南,距地铁1号线芳村994米,陆居路1套出租中,荔湾芳村大道,127天前发布,整租,暂无数据,暂无数据,暂无数据,两房一厅 装修简单，商品房物业 少有放盘，中层单位 陆居路 邻近地铁,小区介绍： 友伦里位于芳村隧道口侧边，邻近地铁一号线芳村站、酒吧街、芳村码头、万象商业步行街等。地段繁华，商铺林立，属于芳村购物休闲街。周边生活配套设施齐，交通便利。,,家住普通装修 非顶楼 2分钟到地铁,"周边配套成熟，交通便利，周围的生活配套成熟完善小区环境优雅，可谓是天然氧吧。而且环境宜人,居住很舒适",,方向是东南通透户型方方正正，中层楼层，通风效果好，视野好户珠江边，房子格局合理无浪费面积，价格优惠，是目前芳村在卖地段的房子了。,
http://gz.lianjia.com/zufang/GZ0002227231.html,110.21平米,3室2厅1卫  整租,中楼层 (共20层),东,距地铁5号线西场720米,丽安大厦1套出租中,荔湾荔湾路,116天前发布,整租,暂无数据,暂无数据,暂无数据,丽安大厦环境优美，马赛克外墙，双地铁生活交通便利，住家简约装修，有家电。,,广州市荔湾区华侨小学、广州市政外语学校、广州市第十二中学、广州第四十三中学、广州市第六十四中学，玛利亚幼儿园，西关外国语小学，西关外国语中学,电梯3房 装修保养好 住家型 生活配套齐,附近有银行，有工行，建行，农商行，动感小西关食街一条街，幸福新村市场，中八华润万佳生活超市，生活配套齐。,413彩虹站公交车站，陈家祠地铁站，中山八地铁站，有陈家祠和中山八路电车总站之间的小中巴车，出行到中山八也非常方便。,,
http://gz.lianjia.com/zufang/GZ0002238877.html,70平米,2室1厅1卫  整租,中楼层 (共9层),南,距地铁6号线如意坊750米,黄沙大道涌边横街1套出租中,荔湾黄沙,96天前发布,整租,暂无数据,暂无数据,暂无数据,"该单位业主二次装修,保养得非常好,新买家买下后稍作装修马上便是可以入住.出租的话,配齐家电,拎包便是可以入住.",小区：康乐设施、商场、西城都会、两层地库停车场、会所学校：詹天佑小学、广州市西关培正小学、广州市第一中学,,高层 精装修 商业旺区 闹中取静,商场：百佳超市、广州谊园文具玩具精品批发、龙胜超市医院：广州沙面国医馆,,"该单位为70方的两房单位,两房一厅间隔,厅出阳台,通风采光,紧靠上下九步行街和十三行广场,商业旺区,闹中取静.",
